Прогноз погоды в Нижнем Новгороде:
№	Время		Температура	Осадки
1	00:00	9.4°C		0.0 мм
2	01:00	9.0°C		0.0 мм
3	02:00	8.7°C		0.0 мм
4	03:00	8.0°C		0.0 мм
5	04:00	7.8°C		0.0 мм
6	05:00	8.3°C		0.0 мм
7	06:00	10.2°C		0.0 мм
8	07:00	11.8°C		0.0 мм
9	08:00	13.8°C		0.0 мм
10	09:00	16.6°C		0.0 мм
11	10:00	18.2°C		0.0 мм
12	11:00	18.9°C		0.0 мм
13	12:00	19.3°C		0.0 мм
14	13:00	19.9°C		0.0 мм
15	14:00	20.5°C		0.0 мм
16	15:00	20.6°C		0.0 мм
17	16:00	20.7°C		0.0 мм
18	17:00	20.7°C		0.0 мм
19	18:00	20.3°C		0.0 мм
20	19:00	19.4°C		0.0 мм
21	20:00	17.8°C		0.0 мм
22	21:00	16.3°C		0.0 мм
23	22:00	15.4°C		0.0 мм
24	23:00	14.7°C		0.0 мм
